-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  Total MFLOPs  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                  performIncrementalSAP         0.00%       0.000us         0.00%       0.000us       0.000us     207.519us         0.04%     207.519us       6.485us           0 b           0 b           0 b           0 b            32            --  
                computeFrozenAndUnfrozenHistogramLaunch         0.00%       0.000us         0.00%       0.000us       0.000us     185.055us         0.03%     185.055us       5.783us           0 b           0 b           0 b           0 b            32            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     179.040us         0.03%     179.040us       1.865us           0 b           0 b           0 b           0 b            96            --  
                        setupInternalConstraintLaunch1T         0.00%       0.000us         0.00%       0.000us       0.000us     178.241us         0.03%     178.241us       5.570us           0 b           0 b           0 b           0 b            32            --  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     175.677us         0.03%     175.677us       2.662us           0 b           0 b           0 b           0 b            66            --  
void at::native::(anonymous namespace)::CatArrayBatc...         0.00%       0.000us         0.00%       0.000us       0.000us     174.782us         0.03%     174.782us       3.641us           0 b           0 b           0 b           0 b            48            --  
                                        doSelfCollision         0.00%       0.000us         0.00%       0.000us       0.000us     163.742us         0.03%     163.742us       5.117us           0 b           0 b           0 b           0 b            32            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     162.303us         0.03%     162.303us       1.691us           0 b           0 b           0 b           0 b            96            --  
                                               aten::eq         0.13%       1.032ms         0.18%       1.460ms      15.210us     160.890us         0.03%     160.890us       1.676us           0 b           0 b       1.25 Mb       1.25 Mb            96            --  
                               initializeSapBox1DLaunch         0.00%       0.000us         0.00%       0.000us       0.000us     151.168us         0.03%     151.168us       4.724us           0 b           0 b           0 b           0 b            32            --  
                                              aten::pow         0.17%       1.355ms         3.17%      25.392ms     253.924us     146.365us         0.03%     268.538us       2.685us           0 b           0 b      25.50 Mb      25.50 Mb           100            --  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     145.439us         0.03%     145.439us      29.088us           0 b           0 b           0 b           0 b             5            --  
          computeIncrementalComparisonHistograms_Stage1         0.00%       0.000us         0.00%       0.000us       0.000us     145.088us         0.03%     145.088us       4.534us           0 b           0 b           0 b           0 b            32            --  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     144.037us         0.02%     144.037us       2.940us           0 b           0 b           0 b           0 b            49            --  
                                   initStaticKinematics         0.00%       0.000us         0.00%       0.000us       0.000us     142.593us         0.02%     142.593us       4.456us           0 b           0 b           0 b           0 b            32            --  
                                 aten::_index_put_impl_         0.05%     393.909us         0.19%       1.506ms      62.751us     142.371us         0.02%     210.053us       8.752us           0 b           0 b           0 b    -514.00 Kb            24            --  
                                               aten::ge         0.13%       1.035ms         0.18%       1.431ms      17.886us     140.064us         0.02%     140.064us       1.751us           0 b           0 b       1.13 Mb       1.13 Mb            80            --  
                                  outputEndPtsHistogram         0.00%       0.000us         0.00%       0.000us       0.000us     139.712us         0.02%     139.712us       4.366us           0 b           0 b           0 b           0 b            32            --  
carb::gym::(anonymous namespace)::prepareForceAndTor...         0.00%       0.000us         0.00%       0.000us       0.000us     138.686us         0.02%     138.686us       8.668us           0 b           0 b           0 b           0 b            16            --  
